WarNum,deaths,WDuratDays,OutcomeD,Americas,WarTypeD,side,Init
761,-9,716,Side A,Not in Americas,Civil War: Local Issues,A,0
762,305,536,Side A,Not in Americas,Civil War: Central Control,A,0
765,2000,439,Other,Not in Americas,Civil War: Local Issues,A,1
766,869,133,Other,Americas,Civil War: Central Control,A,0
767,-9,9828,Other,Not in Americas,Civil War: Central Control,A,1
768,-9,9,Side A,Not in Americas,Civil War: Local Issues,A,1
770,1028,538,Other,Americas,Civil War: Central Control,A,1
771.5,-9,690,Side A,Not in Americas,Civil War: Local Issues,A,1
772,-9,236,Other,Not in Americas,Other,A,0
775,30000,908,Side A,Not in Americas,Civil War: Local Issues,A,1
776,-9,361,Side A,Not in Americas,Civil War: Local Issues,A,1
776.3,550,1172,Side A,Not in Americas,Civil War: Central Control,A,0
777,2000,447,Other,Not in Americas,Civil War: Local Issues,A,0
778,-9,511,Side A,Not in Americas,Civil War: Central Control,A,0
780,750,12,Side A,Not in Americas,Civil War: Central Control,A,1
781,100,303,Side A,Americas,Civil War: Central Control,A,1
782,5000,248,Other,Not in Americas,Civil War: Local Issues,A,1
783,63,87,Side A,Not in Americas,Civil War: Central Control,A,0
785,44398,1214,Side B,Not in Americas,Civil War: Central Control,A,0
786,12000,3349,Other,Not in Americas,Civil War: Local Issues,A,0
787,1300,631,Other,Not in Americas,Civil War: Central Control,A,1
788,-9,959,Other,Not in Americas,Other,A,1
789,250,27,Side A,Not in Americas,Civil War: Central Control,A,0
792,3300,1372,Side A,Not in Americas,Civil War: Local Issues,A,1
793,3000,5,Side B,Americas,Civil War: Central Control,A,0
795,2035,777,Other,Not in Americas,Civil War: Local Issues,A,1
797,2500,380,Side A,Not in Americas,Civil War: Local Issues,A,0
798,7100,1726,Side A,Not in Americas,Civil War: Local Issues,A,0
800,470,655,Side A,Americas,Civil War: Central Control,A,0
801,-9,534,Other,Not in Americas,Other,A,0
803,-9,1111,Side A,Not in Americas,Civil War: Local Issues,A,0
804,36000,5493,Other,Not in Americas,Civil War: Central Control,A,0
804.5,950,1317,Side B,Not in Americas,Civil War: Central Control,A,0
805,-9,382,Other,Not in Americas,Civil War: Local Issues,A,0
805.3,300,4,Side A,Not in Americas,Civil War: Central Control,A,0
806,1800,1029,Side A,Not in Americas,Civil War: Local Issues,A,1
806.3,-9,566,Side A,Not in Americas,Civil War: Local Issues,A,0
806.8,2000,354,Side A,Not in Americas,Civil War: Central Control,A,0
807,1534,237,Other,Not in Americas,Other,A,0
808,2000,984,Side A,Not in Americas,Civil War: Local Issues,A,0
809,1800,2,Side B,Not in Americas,Civil War: Central Control,A,0
810,-9,34,Side A,Not in Americas,Civil War: Central Control,A,0
811,4200,1870,Side A,Americas,Civil War: Central Control,A,1
812,5900,591,Other,Not in Americas,Civil War: Central Control,A,0
815,1000,310,Side B,Americas,Civil War: Central Control,A,0
815.5,500,87,Side B,Not in Americas,Civil War: Central Control,A,0
816,3000,1742,Side A,Not in Americas,Civil War: Central Control,A,1
817,10000,4427,Other,Americas,Civil War: Central Control,A,0
820,4500,1376,Side B,Not in Americas,Civil War: Local Issues,A,0
823,55,24,Side A,Not in Americas,Civil War: Local Issues,A,1
824,-9,4128,Other,Not in Americas,Civil War: Central Control,A,0
825,-9,4135,Side A,Not in Americas,Civil War: Central Control,A,0
826,153500,3366,Side B,Not in Americas,Civil War: Local Issues,A,0
826.5,1000,26,Side A,Not in Americas,Civil War: Central Control,A,0
828,7150,2170,Other,Americas,Civil War: Central Control,A,0
828.3,39516,1355,Side B,Not in Americas,Civil War: Central Control,A,0
829,2242,3525,Side A,Americas,Civil War: Central Control,A,0
833,-9,312,Side B,Not in Americas,Civil War: Central Control,A,0
834,-9,6811,Other,Not in Americas,Civil War: Central Control,A,0
835,1000,1464,Other,Not in Americas,Civil War: Local Issues,A,0
837,250,60,Side A,Not in Americas,Civil War: Local Issues,A,1
838,-9,585,Other,Not in Americas,Civil War: Local Issues,A,0
840,-9,1304,Side A,Not in Americas,Civil War: Local Issues,A,1
842,-9,19,Side B,Not in Americas,Civil War: Central Control,A,0
843,2000,376,Side A,Not in Americas,Civil War: Central Control,A,0
845,551,870,Side A,Not in Americas,Civil War: Central Control,A,0
845.5,3000,1081,Side A,Americas,Civil War: Central Control,A,1
846,-9,2287,Other,Not in Americas,Other,A,1
848,-9,961,Side B,Not in Americas,Civil War: Central Control,A,0
849,12825,9688,Other,Americas,Civil War: Central Control,A,0
850,-9,600,Side B,Not in Americas,Civil War: Central Control,A,1
851,-9,1140,Side B,Not in Americas,Civil War: Central Control,A,0
852,3000,602,Side B,Not in Americas,Civil War: Central Control,A,0
853,1500,1440,Side A,Not in Americas,Civil War: Local Issues,A,0
854,-9,748,Other,Not in Americas,Civil War: Central Control,A,0
856,-9,9,Side B,Not in Americas,Civil War: Central Control,A,0
857,-9,335,Other,Not in Americas,Civil War: Central Control,A,0
858,-9,451,Other,Not in Americas,Civil War: Local Issues,A,0
859,-9,3969,Other,Not in Americas,Civil War: Local Issues,A,0
860,-9,304,Other,Not in Americas,Civil War: Local Issues,A,1
862,-9,30,Side A,Not in Americas,Civil War: Central Control,A,0
862.1,-9,227,Other,Not in Americas,Civil War: Local Issues,A,0
863,-9,1831,Other,Not in Americas,Civil War: Central Control,A,0
864,-9,241,Side B,Not in Americas,Civil War: Local Issues,A,1
865,4819,3018,Side A,Not in Americas,Civil War: Local Issues,A,1
865.8,-9,2270,Other,Not in Americas,Civil War: Central Control,A,0
866,-9,178,Other,Not in Americas,Other,A,0
868,-9,151,Other,Not in Americas,Other,A,0
871,-9,726,Side B,Not in Americas,Civil War: Central Control,A,0
872,4000,400,Other,Not in Americas,Civil War: Local Issues,A,0
873,-9,187,Other,Not in Americas,Civil War: Local Issues,A,1
874,5000,5041,Other,Not in Americas,Civil War: Local Issues,A,0
874.5,-9,211,Other,Not in Americas,Other,A,1
875,5000,3728,Other,Not in Americas,Civil War: Central Control,A,0
876,-9,1852,Other,Not in Americas,Civil War: Central Control,A,0
877,34216,1191,Side A,Not in Americas,Civil War: Local Issues,A,0
877.5,-9,3339,Other,Not in Americas,Civil War: Central Control,A,0
878,5000,538,Side B,Not in Americas,Civil War: Local Issues,A,1
879,-9,1161,Other,Not in Americas,Civil War: Central Control,A,0
880,-9,738,Other,Not in Americas,Civil War: Central Control,A,0
881,-9,1886,Side A,Not in Americas,Civil War: Central Control,A,1
882,1750,116,Other,Not in Americas,Other,A,0
883,-9,1710,Other,Not in Americas,Civil War: Central Control,A,0
885,1226,137,Side A,Not in Americas,Civil War: Local Issues,A,1
886,-9,103,Side B,Not in Americas,Civil War: Central Control,A,1
887,-9,372,Other,Not in Americas,Other,A,0
887.5,-9,180,Other,Not in Americas,Other,A,1
888,4000,621,Side B,Not in Americas,Civil War: Local Issues,A,0
891,-9,181,Side A,Not in Americas,Civil War: Local Issues,A,0
893,-9,54,Other,Not in Americas,Civil War: Local Issues,A,0
895,-9,218,Side B,Not in Americas,Civil War: Central Control,A,0
896,300,584,Side A,Not in Americas,Civil War: Central Control,A,0
897,-9,130,Side B,Not in Americas,Civil War: Central Control,A,1
897.5,-9,43,Other,Not in Americas,Other,A,1
898,-9,688,Side B,Not in Americas,Civil War: Central Control,A,0
900,400,384,Other,Not in Americas,Civil War: Local Issues,A,1
902,-9,113,Side B,Not in Americas,Civil War: Central Control,A,0
905,-9,1576,Other,Not in Americas,Civil War: Central Control,A,0
906,-9,794,Other,Not in Americas,Civil War: Central Control,A,0
907,-9,1159,Side A,Not in Americas,Civil War: Central Control,A,1
908,-9,332,Side A,Not in Americas,Civil War: Central Control,A,0
910,3000,1104,Other,Not in Americas,Other,A,0
912,-9,1848,Other,Not in Americas,Civil War: Local Issues,A,0
913,200,79,Other,Not in Americas,Civil War: Local Issues,A,0
915,5000,1497,Side A,Not in Americas,Civil War: Local Issues,A,0
916,500,487,Other,Not in Americas,Civil War: Local Issues,A,0
917,-9,247,Other,Not in Americas,Civil War: Central Control,A,0
918,150,961,Other,Not in Americas,Civil War: Central Control,A,0
920,-9,104,Side A,Not in Americas,Civil War: Central Control,A,0
921,2000,1388,Other,Not in Americas,Civil War: Central Control,A,0
922,-9,440,Side B,Not in Americas,Civil War: Central Control,A,0
925,-9,186,Other,Not in Americas,Civil War: Central Control,A,0
926,400,159,Other,Not in Americas,Civil War: Local Issues,A,0
927,-9,1309,Other,Not in Americas,Civil War: Local Issues,A,0
932,1200,673,Other,Not in Americas,Civil War: Local Issues,A,1
933,-9,182,Other,Not in Americas,Other,A,0
935,300,289,Side A,Not in Americas,Civil War: Central Control,A,1
936,672,721,Other,Not in Americas,Civil War: Central Control,A,0
937,-9,422,Other,Not in Americas,Civil War: Central Control,A,0
940,5750,1017,Side A,Not in Americas,Civil War: Local Issues,A,1
940.8,-9,1844,Side A,Not in Americas,Civil War: Central Control,A,0
941,1850,528,Other,Not in Americas,Civil War: Central Control,A,0
942,5739,3059,Other,Not in Americas,Civil War: Local Issues,A,0
971,8000,1354,Other,Not in Americas,Civil War: Central Control,A,0
973,-9,51,Side B,Not in Americas,Civil War: Central Control,A,1
976,4500,243,Side B,Not in Americas,Civil War: Central Control,A,0
978,-9,1130,Other,Not in Americas,Civil War: Central Control,A,1
979,70020,1645,Other,Not in Americas,Civil War: Central Control,A,1
980,850,593,Other,Not in Americas,Civil War: Local Issues,A,1
985,371,407,Side A,Not in Americas,Civil War: Local Issues,A,0
990,-9,106,Side B,Not in Americas,Civil War: Central Control,A,0
990.4,200,955,Other,Not in Americas,Civil War: Central Control,A,0
991,10680,737,Other,Not in Americas,Civil War: Central Control,A,1
991.4,-9,721,Other,Not in Americas,Civil War: Central Control,A,0
991.5,-9,140,Other,Not in Americas,Other,A,1
992,600,385,Other,Not in Americas,Civil War: Central Control,A,0
992.5,-9,659,Other,Not in Americas,Civil War: Central Control,A,1
993,3245,493,Other,Not in Americas,Civil War: Local Issues,A,0
994,-9,570,Other,Not in Americas,Civil War: Central Control,A,1
997,1000,189,Other,Not in Americas,Other,A,1
500,6000,1596,Side A,Not in Americas,Civil War: Local Issues,B,0
502,-9,262,Side A,Not in Americas,Civil War: Central Control,B,1
502.1,-9,550,Side A,Not in Americas,Civil War: Local Issues,B,0
503,-9,59,Side A,Not in Americas,Civil War: Central Control,B,0
504,15177,2551,Other,Not in Americas,Civil War: Local Issues,B,1
504.3,40,430,Other,Not in Americas,Other,B,1
505,-9,483,Other,Not in Americas,Civil War: Central Control,B,1
507,-9,22,Side A,Not in Americas,Other,B,0
507.5,-9,372,Side A,Not in Americas,Civil War: Local Issues,B,1
508,6320,4,Side A,Not in Americas,Civil War: Central Control,B,1
511,2000,954,Side A,Not in Americas,Civil War: Local Issues,B,1
512,10000,741,Side A,Not in Americas,Civil War: Local Issues,B,0
513,1800,3,Side B,Not in Americas,Civil War: Central Control,B,1
